date,BAHT,RMS_TH,RINT_TH,RINT_IPI
2010-02-01,33.1491,0.00041,-0.00051,-0.00655
2010-03-01,32.5077,-0.00126,0.00319,-9e-05
2010-04-01,32.2877,0.00103,-0.00408,-0.0192
2010-05-01,32.3946,0.00378,-0.00069,0.02856
2010-06-01,32.4723,-0.00645,-0.00063,0.01926
2010-07-01,32.3265,0.00015,0.00299,-0.00701
2010-08-01,31.7424,-0.00141,0.0044,-0.01957
2010-09-01,30.8341,-0.0017,0.00695,0.00422
2010-10-01,29.9704,0.00057,0.00789,0.01269
2010-11-01,29.886,-0.00162,0.00671,-0.00065
2010-12-01,30.1176,0.00316,0.00436,-0.01276
2011-01-01,30.5839,0.00059,0.00442,0.00528
2011-02-01,30.7164,-0.00063,0.00609,0.00711
2011-03-01,30.3684,-0.00191,0.00806,-0.00447
2011-04-01,30.0541,4e-05,-0.00278,0.03363
2011-05-01,30.2456,-0.00055,0.00823,-0.0202
2011-06-01,30.5173,-0.00454,0.00432,-0.01746
2011-07-01,30.0732,-0.00223,0.01141,0.00989
2011-08-01,29.8835,-0.00718,0.01198,0.00107
2011-09-01,30.4244,-0.00121,0.0227,0.00896
2011-10-01,30.8905,0.00134,0.00923,-0.00802
2011-11-01,30.9566,-0.0032,0.01037,0.01085
2011-12-01,31.2191,0.00359,0.01692,0.01819
2012-01-01,31.5779,-0.00259,0.0145,-0.03491
2012-02-01,30.7281,0.00034,0.01689,0.01484
2012-03-01,30.6963,-0.00058,0.01784,0.01139
2012-04-01,30.8882,-0.00052,0.01816,-0.00354
2012-05-01,31.3418,-0.00018,0.01645,-0.00436
2012-06-01,31.6558,-0.00136,0.01551,0.01927
2012-07-01,31.6549,-0.00374,0.01318,-0.01496
2012-08-01,31.4356,0.00031,0.01997,0.01226
2012-09-01,30.9991,-0.00069,0.02157,-0.00701
2012-10-01,30.6937,-0.00227,0.01551,-0.00114
2012-11-01,30.7092,0.0006,0.01876,0.00353
2012-12-01,30.6366,0.00284,0.01125,-0.01361
