date,BAHT,RMS_TH,RINT_TH,RINT_IPI
1-Dec-09,33.2322,,0.00392,
1-Jan-10,33.0353,-0.00017,0.00192,
1-Feb-10,33.1491,0.00041,-0.00051,-0.00655
1-Mar-10,32.5077,-0.00126,0.00319,-0.00009
1-Apr-10,32.2877,0.00103,-0.00408,-0.01920
1-May-10,32.3946,0.00378,-0.00069,0.02856
1-Jun-10,32.4723,-0.00645,-0.00063,0.01926
1-Jul-10,32.3265,0.00015,0.00299,-0.00701
1-Aug-10,31.7424,-0.00141,0.00440,-0.01957
1-Sep-10,30.8341,-0.00170,0.00695,0.00422
1-Oct-10,29.9704,0.00057,0.00789,0.01269
1-Nov-10,29.8860,-0.00162,0.00671,-0.00065
1-Dec-10,30.1176,0.00316,0.00436,-0.01276
1-Jan-11,30.5839,0.00059,0.00442,0.00528
1-Feb-11,30.7164,-0.00063,0.00609,0.00711
1-Mar-11,30.3684,-0.00191,0.00806,-0.00447
1-Apr-11,30.0541,0.00004,-0.00278,0.03363
1-May-11,30.2456,-0.00055,0.00823,-0.02020
1-Jun-11,30.5173,-0.00454,0.00432,-0.01746
1-Jul-11,30.0732,-0.00223,0.01141,0.00989
1-Aug-11,29.8835,-0.00718,0.01198,0.00107
1-Sep-11,30.4244,-0.00121,0.02270,0.00896
1-Oct-11,30.8905,0.00134,0.00923,-0.00802
1-Nov-11,30.9566,-0.00320,0.01037,0.01085
1-Dec-11,31.2191,0.00359,0.01692,0.01819
1-Jan-12,31.5779,-0.00259,0.01450,-0.03491
1-Feb-12,30.7281,0.00034,0.01689,0.01484
1-Mar-12,30.6963,-0.00058,0.01784,0.01139
1-Apr-12,30.8882,-0.00052,0.01816,-0.00354
1-May-12,31.3418,-0.00018,0.01645,-0.00436
1-Jun-12,31.6558,-0.00136,0.01551,0.01927
1-Jul-12,31.6549,-0.00374,0.01318,-0.01496
1-Aug-12,31.4356,0.00031,0.01997,0.01226
1-Sep-12,30.9991,-0.00069,0.02157,-0.00701
1-Oct-12,30.6937,-0.00227,0.01551,-0.00114
1-Nov-12,30.7092,0.00060,0.01876,0.00353
1-Dec-12,30.6366,0.00284,0.01125,-0.01361
1-Jan-13,30.0686,-0.00390,0.01844,0.01338
1-Feb-13,29.8252,0.00083,0.02399,-0.01369
1-Mar-13,29.5191,0.00093,0.01937,0.01724
1-Apr-13,29.0765,-0.00382,0.01487,-0.00623
1-May-13,29.7840,0.00018,0.01306,0.01977
1-Jun-13,30.8390,-0.00152,0.01338,-0.00869
1-Jul-13,31.1306,-0.00367,0.01328,-0.00797
1-Aug-13,31.6133,0.00119,0.01652,0.01078
1-Sep-13,31.7143,-0.00087,0.01256,-0.01910
1-Oct-13,31.2181,-0.00186,0.00975,0.01661
1-Nov-13,31.6403,0.00186,0.01077,-0.00393
1-Dec-13,32.3538,0.00330,0.00731,-0.00126
1-Jan-14,32.9430,-0.00388,0.01306,-0.00079
1-Feb-14,32.6514,-0.00029,0.01145,0.01618
1-Mar-14,32.3936,-0.00126,0.01411,-0.01170
1-Apr-14,32.3198,-0.00191,0.00794,-0.01243
1-May-14,32.5304,0.00058,0.01198,0.01141
1-Jun-14,32.5144,-0.00420,0.01485,0.00277
1-Jul-14,32.1011,-0.00201,0.01060,-0.00159
1-Aug-14,32.0089,0.00319,0.01039,-0.00411
1-Sep-14,32.1887,-0.00350,0.01113,0.00199
1-Oct-14,32.4575,-0.00011,0.00875,0.00548
1-Nov-14,32.7925,0.00080,0.00479,-0.02104
1-Dec-14,32.9082,0.00103,0.00682,0.01352
1-Jan-15,32.7378,-0.00176,0.01254,-0.00090
1-Feb-15,32.5715,-0.00159,0.01204,0.00109
1-Mar-15,32.6340,-0.00006,0.01263,0.00467
1-Apr-15,32.5163,-0.00052,0.00608,0.01368
1-May-15,33.5589,0.00255,0.01033,-0.02083
1-Jun-15,33.7316,-0.00468,0.00859,-0.00612
1-Jul-15,34.3114,-0.00078,0.00711,0.00825
1-Aug-15,35.4279,0.00113,0.00679,-0.00993
1-Sep-15,36.0243,-0.00134,0.00641,0.01115
1-Oct-15,35.7178,0.00298,0.00294,-0.00607
1-Nov-15,35.7833,-0.00126,0.00659,-0.00241
1-Dec-15,36.0144,0.00268,0.00300,0.01344
1-Jan-16,36.1615,-0.00129,0.00840,-0.01868
1-Feb-16,35.6041,-0.00129,0.00319,0.01412
1-Mar-16,35.2364,-0.00100,0.00174,-0.00051
1-Apr-16,35.0947,-0.00103,-0.00067,0.00028
1-May-16,35.4528,-0.00112,0.00330,0.00453
1-Jun-16,35.3045,-0.00147,0.00803,-0.00883
1-Jul-16,35.0706,-0.00051,0.00825,-0.01263
1-Aug-16,34.7185,-0.00346,0.00765,0.01254
1-Sep-16,34.7365,0.00018,0.00751,0.01165
1-Oct-16,35.0603,0.00128,0.00285,-0.00312
1-Nov-16,35.3277,-0.00010,0.00236,0.01104
1-Dec-16,35.8084,0.00350,0.00164,-0.02730
1-Jan-17,35.4327,-0.00211,0.00708,0.00658
1-Feb-17,35.0172,0.00047,0.00567,0.02241
1-Mar-17,34.9022,-0.00214,0.00871,0.03642
1-Apr-17,34.4532,0.00137,0.00584,-0.04618
1-May-17,34.4515,-0.00355,0.00406,0.01062
1-Jun-17,33.9992,-0.00008,0.00276,0.00724
1-Jul-17,33.7475,-0.00190,0.00258,-0.00362
1-Aug-17,33.2612,-0.00077,0.00416,0.02314
1-Sep-17,33.1510,0.00189,-0.00071,-0.00899
1-Oct-17,33.2541,-0.00129,-0.00213,-0.02208
1-Nov-17,32.9263,0.00091,-0.00103,0.00748
1-Dec-17,32.6660,0.00373,-0.00028,-0.00963
1-Jan-18,31.8798,-0.00394,0.00131,0.02561
1-Feb-18,31.4758,0.00180,0.00237,-0.00886
1-Mar-18,31.2594,-0.00054,0.00016,0.04649
1-Apr-18,31.3148,0.00030,-0.00534,-0.01744
1-May-18,31.9697,0.00047,-0.00350,-0.00823
1-Jun-18,32.4702,-0.00130,0.00000,-0.01678
1-Jul-18,33.2698,-0.00024,-0.00310,-0.00068
1-Aug-18,33.0248,-0.00200,-0.00416,-0.00415
1-Sep-18,32.6181,0.00030,-0.00560,-0.01453
1-Oct-18,32.7718,-0.00035,-0.00252,0.00342
1-Nov-18,32.9695,0.00105,-0.00468,0.00756
1-Dec-18,32.7009,0.00132,0.00106,0.02734
1-Jan-19,31.8139,-0.00169,-0.00002,-0.01023
1-Feb-19,31.3075,0.00053,-0.00047,-0.00187
1-Mar-19,31.7285,0.00287,0.00234,0.04274
1-Apr-19,31.8596,-0.00140,0.00059,-0.04448
1-May-19,31.7958,0.00110,-0.00034,-0.00453
1-Jun-19,31.1251,-0.00251,0.00521,-0.00706
1-Jul-19,30.7927,-0.00239,-0.00030,0.00776
1-Aug-19,30.7680,0.00103,0.00165,-0.00760
1-Sep-19,30.5704,-0.00055,-0.00180,0.00673
1-Oct-19,30.3665,-0.00121,0.00255,0.00896
1-Nov-19,30.2439,0.00045,-0.00068,-0.00714
1-Dec-19,30.2228,0.00007,-0.00525,0.00912
1-Jan-20,30.4396,-0.00118,0.00043,-0.00078
1-Feb-20,31.3392,0.00100,0.00266,-0.01438
1-Mar-20,32.1078,-0.00451,0.01494,-0.00481
1-Apr-20,32.6341,-0.01159,0.01902,0.01822
1-May-20,32.0391,0.02221,0.00499,0.00365
1-Jun-20,31.1561,-0.00358,-0.00455,0.01022
1-Jul-20,31.4171,-0.00134,0.00524,0.00487
1-Aug-20,31.2168,-0.00093,0.00777,-0.00282
1-Sep-20,31.3565,-0.00369,0.00914,-0.00611
1-Oct-20,31.2689,-0.00095,0.00487,-0.00633
1-Nov-20,30.4766,-0.00607,0.00477,-0.00520
1-Dec-20,30.0944,-0.01136,0.00192,-0.01716
1-Jan-21,30.0060,-0.00348,0.00484,-0.00533
1-Feb-21,29.9857,-0.00361,0.01702,0.01556
1-Mar-21,30.7894,-0.00190,0.00512,-0.01724
1-Apr-21,31.3406,-0.00055,-0.00516,0.01666
1-May-21,31.2993,-0.00648,0.01906,0.00190
1-Jun-21,31.4383,-0.00416,0.00699,0.00558
1-Jul-21,32.6109,-0.00105,0.00965,-0.00915
1-Aug-21,33.1190,-0.00061,0.00670,-0.00172
1-Sep-21,33.0368,0.00086,-0.00926,0.00603
1-Oct-21,33.4816,-0.00098,0.00519,-0.00237
1-Nov-21,33.0958,-0.00093,0.00631,0.00536
1-Dec-21,33.5647,0.00085,0.01127,0.00768
,,,,
,,,,
