date,LBATH,RMS_TH,RINT_TH,RINT_IPI
1-Jan-10,,,,
1-Feb-10,0.0034,0.0189,0.0022,-0.0285
1-Mar-10,-0.0195,-0.0113,-0.0813,-0.0007
1-Apr-10,-0.0068,0.0077,-0.0621,-0.0830
1-May-10,0.0033,0.0586,0.0381,0.1201
1-Jun-10,0.0024,-0.0795,0.0792,0.0841
1-Jul-10,-0.0045,-0.0017,0.0431,-0.0313
1-Aug-10,-0.0182,-0.0073,0.0647,-0.0867
1-Sep-10,-0.0290,-0.0151,0.0020,0.0182
1-Oct-10,-0.0284,0.0149,0.0333,0.0555
1-Nov-10,-0.0028,0.0004,0.0265,-0.0029
1-Dec-10,0.0077,0.0482,-0.1408,-0.0566
1-Jan-11,0.0154,0.0129,0.0207,0.0231
1-Feb-11,0.0043,0.0023,0.0003,0.0313
1-Mar-11,-0.0114,-0.0147,-0.0488,-0.0200
1-Apr-11,-0.0104,0.0008,0.0277,0.1483
1-May-11,0.0064,0.0124,0.0842,-0.0919
1-Jun-11,0.0089,-0.0545,-0.0151,-0.0779
1-Jul-11,-0.0147,-0.0173,0.1758,0.0432
1-Aug-11,-0.0063,-0.0515,0.1071,0.0046
1-Sep-11,0.0179,-0.0153,0.1871,0.0399
1-Oct-11,0.0152,0.0222,-0.1779,-0.0361
1-Nov-11,0.0021,-0.0242,0.0133,0.0483
1-Dec-11,0.0084,0.0445,0.0839,0.0819
1-Jan-12,0.0114,-0.0244,-0.0020,-0.1603
1-Feb-12,-0.0273,0.0094,0.0217,0.0658
1-Mar-12,-0.0010,0.0004,-0.0491,0.0514
1-Apr-12,0.0062,-0.0030,0.1454,-0.0161
1-May-12,0.0146,0.0034,0.1669,-0.0198
1-Jun-12,0.0100,-0.0113,-0.1061,0.0872
1-Jul-12,0.0000,-0.0415,0.0447,-0.0690
1-Aug-12,-0.0070,0.0177,-0.0152,0.0558
1-Sep-12,-0.0140,0.0013,0.0256,-0.0322
1-Oct-12,-0.0099,-0.0210,-0.1102,-0.0052
1-Nov-12,0.0005,0.0156,0.1018,0.0161
1-Dec-12,-0.0024,0.0483,-0.1086,-0.0624
1-Jan-13,-0.0187,-0.0516,-0.0725,0.0605
1-Feb-13,-0.0081,0.0127,0.0557,-0.0628
1-Mar-13,-0.0103,0.0159,-0.0133,0.0779
1-Apr-13,-0.0151,-0.0442,0.0485,-0.0287
